trecho,persona,refatoracao_tipo,complexity_delta,smells_delta,n_valid
Math_1_ReplaceConditionalWithPolymorphism_41,P1,ReplaceConditionalWithPolymorphism,8.5,3.0,2
Math_1_ReplaceConditionalWithPolymorphism_41,P2,ReplaceConditionalWithPolymorphism,10.5,0.0,2
Math_1_ReplaceConditionalWithPolymorphism_49,P-1,ReplaceConditionalWithPolymorphism,3.0,2.5,2
Math_1_ReplaceConditionalWithPolymorphism_49,P0,ReplaceConditionalWithPolymorphism,4.0,3.5,2
Math_1_ReplaceConditionalWithPolymorphism_49,P1,ReplaceConditionalWithPolymorphism,6.0,0.0,1
Math_1_ReplaceConditionalWithPolymorphism_49,P2,ReplaceConditionalWithPolymorphism,7.0,2.0,1
Math_1_ReplaceConditionalWithPolymorphism_50,P-1,ReplaceConditionalWithPolymorphism,7.0,1.5,2
Math_1_ReplaceConditionalWithPolymorphism_50,P0,ReplaceConditionalWithPolymorphism,8.0,1.5,2
Math_1_ReplaceConditionalWithPolymorphism_50,P1,ReplaceConditionalWithPolymorphism,7.0,0.0,2
Math_1_ReplaceConditionalWithPolymorphism_50,P2,ReplaceConditionalWithPolymorphism,7.0,2.0,1
Math_1_ReplaceConditionalWithPolymorphism_61,P-1,ReplaceConditionalWithPolymorphism,3.0,-1.0,2
Math_1_ReplaceConditionalWithPolymorphism_61,P0,ReplaceConditionalWithPolymorphism,3.5,-1.0,2
Math_1_ReplaceConditionalWithPolymorphism_61,P1,ReplaceConditionalWithPolymorphism,2.5,-0.5,2
Math_1_ReplaceConditionalWithPolymorphism_61,P2,ReplaceConditionalWithPolymorphism,3.0,-1.0,2
Math_1_ReplaceConditionalWithPolymorphism_68,P-1,ReplaceConditionalWithPolymorphism,11.5,-0.5,2
Math_1_ReplaceConditionalWithPolymorphism_68,P0,ReplaceConditionalWithPolymorphism,12.5,4.0,2
Math_1_ReplaceConditionalWithPolymorphism_68,P1,ReplaceConditionalWithPolymorphism,7.5,-1.5,2
Math_1_ReplaceConditionalWithPolymorphism_68,P2,ReplaceConditionalWithPolymorphism,19.5,-1.0,2
Math_1_ReplaceMagicNumber_110,P-1,ReplaceMagicNumber,0.0,0.0,2
Math_1_ReplaceMagicNumber_110,P0,ReplaceMagicNumber,0.0,0.0,2
Math_1_ReplaceMagicNumber_110,P1,ReplaceMagicNumber,0.0,0.0,2
Math_1_ReplaceMagicNumber_110,P2,ReplaceMagicNumber,0.0,0.0,2
Math_1_ReplaceMagicNumber_157,P-1,ReplaceMagicNumber,0.0,0.0,2
Math_1_ReplaceMagicNumber_157,P0,ReplaceMagicNumber,0.0,0.0,2
Math_1_ReplaceMagicNumber_157,P1,ReplaceMagicNumber,0.0,0.0,2
Math_1_ReplaceMagicNumber_157,P2,ReplaceMagicNumber,0.0,0.0,2
Math_1_ReplaceMagicNumber_163,P-1,ReplaceMagicNumber,0.0,0.0,2
Math_1_ReplaceMagicNumber_163,P0,ReplaceMagicNumber,0.0,0.0,2
Math_1_ReplaceMagicNumber_163,P1,ReplaceMagicNumber,0.0,0.0,2
Math_1_ReplaceMagicNumber_163,P2,ReplaceMagicNumber,0.0,0.0,2
Math_1_ReplaceMagicNumber_167,P-1,ReplaceMagicNumber,0.0,0.0,2
Math_1_ReplaceMagicNumber_167,P0,ReplaceMagicNumber,0.0,0.0,2
Math_1_ReplaceMagicNumber_167,P1,ReplaceMagicNumber,0.0,0.0,2
Math_1_ReplaceMagicNumber_167,P2,ReplaceMagicNumber,0.0,0.0,2
Math_1_ReplaceMagicNumber_169,P-1,ReplaceMagicNumber,0.0,0.0,2
Math_1_ReplaceMagicNumber_169,P0,ReplaceMagicNumber,0.0,0.0,2
Math_1_ReplaceMagicNumber_169,P1,ReplaceMagicNumber,0.0,0.0,2
Math_1_ReplaceMagicNumber_169,P2,ReplaceMagicNumber,0.0,0.0,2
Math_1_ReplaceMagicNumber_181,P-1,ReplaceMagicNumber,0.0,0.0,2
Math_1_ReplaceMagicNumber_181,P0,ReplaceMagicNumber,0.0,0.0,2
Math_1_ReplaceMagicNumber_181,P1,ReplaceMagicNumber,0.0,0.0,2
Math_1_ReplaceMagicNumber_181,P2,ReplaceMagicNumber,0.0,0.0,2
Math_1_ReplaceMagicNumber_189,P-1,ReplaceMagicNumber,0.0,0.0,2
Math_1_ReplaceMagicNumber_189,P0,ReplaceMagicNumber,0.0,0.0,2
Math_1_ReplaceMagicNumber_189,P1,ReplaceMagicNumber,0.0,0.0,2
Math_1_ReplaceMagicNumber_189,P2,ReplaceMagicNumber,0.0,0.0,2
Math_1_ReplaceMagicNumber_194,P-1,ReplaceMagicNumber,0.0,0.0,2
Math_1_ReplaceMagicNumber_194,P0,ReplaceMagicNumber,0.0,0.0,2
Math_1_ReplaceMagicNumber_194,P1,ReplaceMagicNumber,0.0,0.0,2
Math_1_ReplaceMagicNumber_194,P2,ReplaceMagicNumber,0.0,0.0,2
Math_1_ReplaceMagicNumber_195,P-1,ReplaceMagicNumber,0.0,0.0,2
Math_1_ReplaceMagicNumber_195,P0,ReplaceMagicNumber,0.0,0.0,2
Math_1_ReplaceMagicNumber_195,P1,ReplaceMagicNumber,0.0,0.0,2
Math_1_ReplaceMagicNumber_195,P2,ReplaceMagicNumber,0.0,0.0,2
Math_1_ReplaceMagicNumber_201,P-1,ReplaceMagicNumber,0.0,0.0,2
Math_1_ReplaceMagicNumber_201,P0,ReplaceMagicNumber,0.0,0.0,2
Math_1_ReplaceMagicNumber_201,P1,ReplaceMagicNumber,0.0,0.0,2
Math_1_ReplaceMagicNumber_201,P2,ReplaceMagicNumber,0.0,0.0,2
