metric,par,n,mean_diff,p_tost,equivalente
complexity_delta,P-1 vs P2,30,-0.65,0.186868975624234,False
complexity_delta,P0 vs P2,30,-0.567,0.17155573904950017,False
complexity_delta,P-1 vs P0,30,-0.083,0.0034678830887961373,True
smells_delta,P-1 vs P2,30,0.45,0.03129888598272369,True
smells_delta,P0 vs P2,30,0.417,0.0341314318058439,True
smells_delta,P-1 vs P0,30,0.033,7.160872253586173e-05,True
