,sum_sq,df,F,PR(>F)
C(persona),5642.0666666666875,3.0,1.673931944779827,0.17691297423299587
C(tipo),8765.54999999999,2.0,3.9009466810944775,0.023133276415051526
C(persona):C(tipo),7869.183333333342,6.0,1.1673450651353197,0.32919667582065787
Residual,121339.69999999998,108.0,,
