,sum_sq,df,F,PR(>F)
C(persona),1410.2666666666612,3.0,0.40097270410318914,0.7525773745465311
C(tipo),1717.8000000000088,2.0,0.7326177318682259,0.48302227025705746
C(persona):C(tipo),13906.333333333336,6.0,1.9769523780940972,0.07516500319205942
Residual,126616.1,108.0,,
