id_rodada,trecho,refatoracao_tipo,persona,replica,status,complexity_base,complexity_pos,complexity_delta,smells_base,smells_pos,smells_delta,tempo_execucao_seg,token_count,prompt_tokens,candidates_tokens
44,Math_1_ExtractMethod_140,ExtractMethod,P-2,2,VALIDO,15,18,3,1,0,-1,57.14,6257,1729,2121
45,Math_1_ExtractMethod_140,ExtractMethod,P-3,1,VALIDO,15,19,4,1,0,-1,43.71,8905,1736,2285
46,Math_1_ExtractMethod_140,ExtractMethod,P-3,2,VALIDO,15,18,3,1,0,-1,42.08,6875,1736,1941
47,Math_1_ExtractMethod_140,ExtractMethod,P-4,1,VALIDO,15,22,7,1,0,-1,43.38,9077,1757,2075
48,Math_1_ExtractMethod_140,ExtractMethod,P-4,2,VALIDO,15,20,5,1,0,-1,89.59,9288,1757,2358
49,Math_1_ExtractMethod_115,ExtractMethod,P-1,1,VALIDO,13,18,5,1,0,-1,44.41,9581,1924,2288
50,Math_1_ExtractMethod_115,ExtractMethod,P-1,2,VALIDO,13,17,4,1,0,-1,41.56,9735,1924,2430
51,Math_1_ExtractMethod_115,ExtractMethod,P-2,1,VALIDO,13,19,6,1,0,-1,49.55,8346,1868,2535
52,Math_1_ExtractMethod_115,ExtractMethod,P-2,2,VALIDO,13,18,5,1,0,-1,66.89,9271,1868,2308
53,Math_1_ExtractMethod_115,ExtractMethod,P-3,1,VALIDO,13,19,6,1,0,-1,53.32,9817,1875,2606
54,Math_1_ExtractMethod_115,ExtractMethod,P-3,2,VALIDO,13,18,5,1,0,-1,54.71,8646,1875,2356
55,Math_1_ExtractMethod_115,ExtractMethod,P-4,1,VALIDO,13,19,6,1,0,-1,51.75,8628,1896,2593
56,Math_1_ExtractMethod_115,ExtractMethod,P-4,2,VALIDO,13,18,5,1,0,-1,72.79,9997,1896,2332
57,Math_1_ExtractMethod_159,ExtractMethod,P-1,1,VALIDO,20,25,5,5,7,2,85.43,10412,1950,2389
58,Math_1_ExtractMethod_159,ExtractMethod,P-1,2,VALIDO,20,25,5,5,7,2,122.69,9007,1950,2406
59,Math_1_ExtractMethod_159,ExtractMethod,P-2,1,VALIDO,20,25,5,5,7,2,93.71,9637,1894,2456
60,Math_1_ExtractMethod_159,ExtractMethod,P-2,2,VALIDO,20,25,5,5,7,2,97.4,8821,1894,2284
61,Math_1_ExtractMethod_159,ExtractMethod,P-3,1,VALIDO,20,25,5,5,7,2,112.52,6859,1901,2226
62,Math_1_ExtractMethod_159,ExtractMethod,P-3,2,VALIDO,20,26,6,5,7,2,71.19,8222,1901,2133
63,Math_1_ExtractMethod_159,ExtractMethod,P-4,1,VALIDO,20,25,5,5,7,2,78.12,9564,1922,2402
64,Math_1_ExtractMethod_159,ExtractMethod,P-4,2,VALIDO,20,26,6,5,6,1,85.65,8989,1922,2533
65,Math_1_ExtractMethod_119,ExtractMethod,P-1,1,VALIDO,12,16,4,7,12,5,71.5,8538,2074,2035
66,Math_1_ExtractMethod_119,ExtractMethod,P-1,2,VALIDO,12,23,11,7,2,-5,56.67,11812,2074,2035
67,Math_1_ExtractMethod_119,ExtractMethod,P-2,1,VALIDO,12,22,10,7,11,4,53.87,9724,2018,2308
68,Math_1_ExtractMethod_119,ExtractMethod,P-2,2,VALIDO,12,16,4,7,2,-5,74.84,14708,2018,2232
69,Math_1_ExtractMethod_119,ExtractMethod,P-3,1,VALIDO,12,16,4,7,11,4,60.19,10983,2025,2261
70,Math_1_ExtractMethod_119,ExtractMethod,P-3,2,VALIDO,12,21,9,7,2,-5,47.75,12474,2025,2069
71,Math_1_ExtractMethod_119,ExtractMethod,P-4,1,VALIDO,12,20,8,7,2,-5,45.88,15351,2046,2201
72,Math_1_ExtractMethod_119,ExtractMethod,P-4,2,VALIDO,12,17,5,7,12,5,48.2,11184,2046,2243
