id_rodada,trecho,refatoracao_tipo,persona,replica,status,complexity_base,complexity_pos,complexity_delta,smells_base,smells_pos,smells_delta,tempo_execucao_seg,token_count,prompt_tokens,candidates_tokens
195,Math_1_ReplaceConditionalWithPolymorphism_30,ReplaceConditionalWithPolymorphism,P-2,1,VALIDO,27,32,5,2,3,1,53.21,9484,2114,2473
196,Math_1_ReplaceConditionalWithPolymorphism_30,ReplaceConditionalWithPolymorphism,P-2,2,VALIDO,27,32,5,2,3,1,53.22,9485,2114,2458
197,Math_1_ReplaceConditionalWithPolymorphism_30,ReplaceConditionalWithPolymorphism,P-3,1,VALIDO,27,30,3,2,2,0,53.88,8895,2121,2460
198,Math_1_ReplaceConditionalWithPolymorphism_30,ReplaceConditionalWithPolymorphism,P-3,2,VALIDO,27,32,5,2,3,1,52.46,9169,2121,2457
199,Math_1_ReplaceConditionalWithPolymorphism_30,ReplaceConditionalWithPolymorphism,P-4,1,VALIDO,27,33,6,2,3,1,52.37,11396,2142,2727
200,Math_1_ReplaceConditionalWithPolymorphism_30,ReplaceConditionalWithPolymorphism,P-4,2,VALIDO,27,40,13,2,2,0,53.2,10226,2142,2851
201,Math_1_ReplaceConditionalWithPolymorphism_61,ReplaceConditionalWithPolymorphism,P-1,1,VALIDO,15,18,3,1,0,-1,61.48,9538,1987,2353
202,Math_1_ReplaceConditionalWithPolymorphism_61,ReplaceConditionalWithPolymorphism,P-1,2,VALIDO,15,18,3,1,0,-1,54.7,11529,1987,1713
203,Math_1_ReplaceConditionalWithPolymorphism_61,ReplaceConditionalWithPolymorphism,P-2,1,VALIDO,15,20,5,1,0,-1,54.06,11924,1931,2383
204,Math_1_ReplaceConditionalWithPolymorphism_61,ReplaceConditionalWithPolymorphism,P-2,2,VALIDO,15,17,2,1,0,-1,52.59,8967,1931,2208
205,Math_1_ReplaceConditionalWithPolymorphism_61,ReplaceConditionalWithPolymorphism,P-3,1,VALIDO,15,17,2,1,1,0,52.37,8022,1938,2180
206,Math_1_ReplaceConditionalWithPolymorphism_61,ReplaceConditionalWithPolymorphism,P-3,2,VALIDO,15,18,3,1,0,-1,295.02,11159,1938,2232
207,Math_1_ReplaceConditionalWithPolymorphism_61,ReplaceConditionalWithPolymorphism,P-4,1,VALIDO,15,18,3,1,0,-1,36.47,9837,1959,2270
208,Math_1_ReplaceConditionalWithPolymorphism_61,ReplaceConditionalWithPolymorphism,P-4,2,VALIDO,15,18,3,1,0,-1,34.96,9330,1959,2373
209,Math_1_ReplaceConditionalWithPolymorphism_32,ReplaceConditionalWithPolymorphism,P-1,1,VALIDO,23,32,9,1,1,0,42.52,15434,2328,3218
210,Math_1_ReplaceConditionalWithPolymorphism_32,ReplaceConditionalWithPolymorphism,P-1,2,VALIDO,23,33,10,1,0,-1,36.73,12583,2328,2513
211,Math_1_ReplaceConditionalWithPolymorphism_32,ReplaceConditionalWithPolymorphism,P-2,1,VALIDO,23,29,6,1,0,-1,35.87,12290,2272,3013
212,Math_1_ReplaceConditionalWithPolymorphism_32,ReplaceConditionalWithPolymorphism,P-2,2,VALIDO,23,29,6,1,1,0,36.44,11899,2272,3092
213,Math_1_ReplaceConditionalWithPolymorphism_32,ReplaceConditionalWithPolymorphism,P-3,1,VALIDO,23,27,4,1,1,0,39.21,11939,2279,2792
214,Math_1_ReplaceConditionalWithPolymorphism_32,ReplaceConditionalWithPolymorphism,P-3,2,VALIDO,23,30,7,1,2,1,37.15,10873,2279,3056
215,Math_1_ReplaceConditionalWithPolymorphism_32,ReplaceConditionalWithPolymorphism,P-4,1,FALHA_COMPILACAO,23,,,1,,,0.76,12309,2300,3148
216,Math_1_ReplaceConditionalWithPolymorphism_32,ReplaceConditionalWithPolymorphism,P-4,2,VALIDO,23,32,9,1,0,-1,36.08,10941,2300,2998
217,Math_1_ReplaceConditionalWithPolymorphism_49,ReplaceConditionalWithPolymorphism,P-1,1,VALIDO,20,23,3,1,2,1,46.38,9850,2152,2600
218,Math_1_ReplaceConditionalWithPolymorphism_49,ReplaceConditionalWithPolymorphism,P-1,2,VALIDO,20,23,3,1,5,4,40.33,12476,2152,2630
219,Math_1_ReplaceConditionalWithPolymorphism_49,ReplaceConditionalWithPolymorphism,P-2,1,VALIDO,20,26,6,1,5,4,40.25,10698,2096,2793
220,Math_1_ReplaceConditionalWithPolymorphism_49,ReplaceConditionalWithPolymorphism,P-2,2,VALIDO,20,22,2,1,4,3,37.75,9270,2096,2577
221,Math_1_ReplaceConditionalWithPolymorphism_49,ReplaceConditionalWithPolymorphism,P-3,1,FALHA_COMPILACAO,20,,,1,,,0.81,9575,2103,2643
222,Math_1_ReplaceConditionalWithPolymorphism_49,ReplaceConditionalWithPolymorphism,P-3,2,VALIDO,20,26,6,1,1,0,38.7,12800,2103,2609
223,Math_1_ReplaceConditionalWithPolymorphism_49,ReplaceConditionalWithPolymorphism,P-4,1,FALHA_COMPILACAO,20,,,1,,,0.91,10771,2124,2749
224,Math_1_ReplaceConditionalWithPolymorphism_49,ReplaceConditionalWithPolymorphism,P-4,2,VALIDO,20,27,7,1,3,2,38.56,11082,2124,2467
225,Math_1_ReplaceConditionalWithPolymorphism_39,ReplaceConditionalWithPolymorphism,P-1,1,VALIDO,30,36,6,4,4,0,44.96,11806,2312,2672
226,Math_1_ReplaceConditionalWithPolymorphism_39,ReplaceConditionalWithPolymorphism,P-1,2,VALIDO,30,44,14,4,4,0,38.42,9300,2312,2941
227,Math_1_ReplaceConditionalWithPolymorphism_39,ReplaceConditionalWithPolymorphism,P-2,1,VALIDO,30,53,23,4,5,1,38.19,16245,2256,3290
228,Math_1_ReplaceConditionalWithPolymorphism_39,ReplaceConditionalWithPolymorphism,P-2,2,VALIDO,30,41,11,4,4,0,39.16,10642,2256,2876
229,Math_1_ReplaceConditionalWithPolymorphism_39,ReplaceConditionalWithPolymorphism,P-3,1,VALIDO,30,44,14,4,4,0,38.73,14172,2263,2960
230,Math_1_ReplaceConditionalWithPolymorphism_39,ReplaceConditionalWithPolymorphism,P-3,2,VALIDO,30,39,9,4,4,0,39.79,13345,2263,2995
231,Math_1_ReplaceConditionalWithPolymorphism_39,ReplaceConditionalWithPolymorphism,P-4,1,VALIDO,30,41,11,4,4,0,43.32,11433,2284,3060
232,Math_1_ReplaceConditionalWithPolymorphism_39,ReplaceConditionalWithPolymorphism,P-4,2,VALIDO,30,39,9,4,4,0,39.62,9431,2284,2958
233,Math_1_ReplaceConditionalWithPolymorphism_16,ReplaceConditionalWithPolymorphism,P-1,1,VALIDO,34,52,18,4,2,-2,45.76,13932,2675,3677
234,Math_1_ReplaceConditionalWithPolymorphism_16,ReplaceConditionalWithPolymorphism,P-1,2,VALIDO,34,50,16,4,2,-2,42.1,13052,2675,2739
235,Math_1_ReplaceConditionalWithPolymorphism_16,ReplaceConditionalWithPolymorphism,P-2,1,VALIDO,34,54,20,4,0,-4,40.74,13531,2619,2717
236,Math_1_ReplaceConditionalWithPolymorphism_16,ReplaceConditionalWithPolymorphism,P-2,2,VALIDO,34,52,18,4,0,-4,40.71,11356,2619,2941
237,Math_1_ReplaceConditionalWithPolymorphism_16,ReplaceConditionalWithPolymorphism,P-3,1,VALIDO,34,52,18,4,0,-4,38.94,14754,2626,3374
238,Math_1_ReplaceConditionalWithPolymorphism_16,ReplaceConditionalWithPolymorphism,P-3,2,VALIDO,34,56,22,4,0,-4,42.95,14615,2626,3423
239,Math_1_ReplaceConditionalWithPolymorphism_16,ReplaceConditionalWithPolymorphism,P-4,1,VALIDO,34,52,18,4,0,-4,49.23,12908,2647,2839
240,Math_1_ReplaceConditionalWithPolymorphism_16,ReplaceConditionalWithPolymorphism,P-4,2,VALIDO,34,50,16,4,2,-2,41.49,11365,2647,2763
