"Term","F","Df","Df.res","Pr(>F)"
"persona",5.2270374962775,3,54.0000000000001,0.00305757255132755
"tipo",3.88267746049447,1,17.9999999999998,0.0643665045307848
"persona:tipo",1.58673788578303,3,54.0000000000001,0.203234238724494
