"Term","F","Df","Df.res","Pr(>F)"
"persona",0.69098809559661,3,54.0000000000004,0.561521079854474
"tipo",1.19574892729859,1,17.9999999999999,0.28859169371762
"persona:tipo",0.462215876953686,3,54,0.70983070579488
